mandt,land1,landk,lnplz,prplz,addrs,xplzs,xplpf,spras,xland,xaddr,nmfmt,xregs,xplst,intca,intca3,intcn3,xegld,xskfn,xmwsn,lnbkn,prbkn,lnblz,prblz,lnpsk,prpsk,xprbk,bnkey,lnbks,prbks,xprso,pruin,uinln,lnst1,prst1,lnst2,prst2,lnst3,prst3,lnst4,prst4,lnst5,prst5,landd,kalsm,landa,wechf,lkvrz,intcn,xdezp,datfm,curin,curha,waers,kurst,afapl,gwgwrt,umrwrt,kzrbwb,xanzum,ctnconcept,kzsrv,xxinve,xgccv,sureg,landgrp_vp,operation_flag,is_deleted,recordstamp
000,FK,,,,,X,,E,,X,,,,FK,FLK,238,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,168,,529,,FALKL,,,,,,FKP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
001,FK,,,,,X,,E,,X,,,,FK,FLK,238,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,168,,529,,FALKL,,,,,,FKP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,FK,,,,,X,,E,,X,,,,FK,FLK,238,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,168,,529,,FALKL,,,,,,FKP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,FK,,,,,X,,E,,X,,,,FK,FLK,238,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,168,,529,,FALKL,,,,,,FKP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,FK,,,,,X,,E,,X,,,,FK,FLK,238,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,168,,529,,FALKL,,,,,,FKP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,FK,,,,,X,,E,,X,,,,FK,FLK,238,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,168,,529,,FALKL,,,,,,FKP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,FK,,,,,X,,E,,X,,,,FK,FLK,238,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,168,,529,,FALKL,,,,,,FKP,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
000,GF,,,,,X,,F,,X,,,,GF,GUF,254,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,129,,001,,FGUAY,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
001,GF,,,,,X,,F,,X,,,,GF,GUF,254,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,129,,001,,FGUAY,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,GF,,,,,X,,F,,X,,,,GF,GUF,254,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,129,,001,,FGUAY,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GF,,,,,X,,F,,X,,,,GF,GUF,254,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,129,,001,,FGUAY,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,GF,,,,,X,,F,,X,,,,GF,GUF,254,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,129,,001,,FGUAY,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,GF,,,,,X,,F,,X,,,,GF,GUF,254,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,129,,001,,FGUAY,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GF,,,,,X,,F,,X,,,,GF,GUF,254,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,129,,001,,FGUAY,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
000,DJ,DJI,,,,X,,A,,X,,,,DJ,DJI,262,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,230,,338,,DSBUTI,,,,,,DJF,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
001,DJ,DJI,,,,X,,A,,X,,,,DJ,DJI,262,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,230,,338,,DSBUTI,,,,,,DJF,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,DJ,DJI,,,,X,,A,,X,,,,DJ,DJI,262,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,230,,338,,DSBUTI,,,,,,DJF,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,DJ,DJI,,,,X,,A,,X,,,,DJ,DJI,262,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,230,,338,,DSBUTI,,,,,,DJF,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,DJ,DJI,,,,X,,A,,X,,,,DJ,DJI,262,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,230,,338,,DSBUTI,,,,,,DJF,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
